dataset,column_name,data_type,row_count,missing_count,unique_count
collision,collision_index,object,513801,0,513801
collision,collision_year,int64,513801,0,5
collision,collision_ref_no,object,513801,0,510837
collision,location_easting_osgr,float64,513801,53,245276
collision,location_northing_osgr,float64,513801,53,263601
collision,longitude,float64,513801,53,437862
collision,latitude,float64,513801,53,412450
collision,police_force,int64,513801,0,44
collision,collision_severity,int64,513801,0,3
collision,number_of_vehicles,int64,513801,0,19
collision,number_of_casualties,int64,513801,0,26
collision,date,object,513801,0,1826
collision,day_of_week,int64,513801,0,7
collision,time,object,513801,0,1440
collision,local_authority_district,int64,513801,0,15
collision,local_authority_ons_district,object,513801,0,370
collision,local_authority_highway,object,513801,0,211
collision,local_authority_highway_current,object,513801,0,208
collision,first_road_class,int64,513801,0,7
collision,first_road_number,int64,513801,0,3616
collision,road_type,int64,513801,0,6
collision,speed_limit,int64,513801,0,7
collision,junction_detail_historic,int64,513801,0,11
collision,junction_detail,int64,513801,0,8
collision,junction_control,int64,513801,0,6
collision,second_road_class,int64,513801,0,9
collision,second_road_number,int64,513801,0,3356
collision,pedestrian_crossing_human_control_historic,int64,513801,0,5
collision,pedestrian_crossing_physical_facilities_historic,int64,513801,0,8
collision,pedestrian_crossing,int64,513801,0,10
collision,light_conditions,int64,513801,0,6
collision,weather_conditions,int64,513801,0,10
collision,road_surface_conditions,int64,513801,0,7
collision,special_conditions_at_site,int64,513801,0,10
collision,carriageway_hazards_historic,int64,513801,0,8
collision,carriageway_hazards,int64,513801,0,14
collision,urban_or_rural_area,int64,513801,0,4
collision,did_police_officer_attend_scene_of_accident,int64,513801,0,3
collision,trunk_road_flag,int64,513801,0,3
collision,lsoa_of_accident_location,object,513801,0,35630
collision,enhanced_severity_collision,int64,513801,0,6
collision,collision_injury_based,int64,513801,0,2
collision,collision_adjusted_severity_serious,float64,513801,0,25538
collision,collision_adjusted_severity_slight,float64,513801,0,25539
vehicle,collision_index,object,937265,0,513801
vehicle,collision_year,int64,937265,0,5
vehicle,collision_ref_no,object,937265,0,510837
vehicle,vehicle_reference,int64,937265,0,45
vehicle,vehicle_type,int64,937265,0,22
vehicle,towing_and_articulation,int64,937265,0,8
vehicle,vehicle_manoeuvre_historic,int64,937265,0,20
vehicle,vehicle_manoeuvre,int64,937265,0,19
vehicle,vehicle_direction_from,int64,937265,0,11
vehicle,vehicle_direction_to,int64,937265,0,11
vehicle,vehicle_location_restricted_lane_historic,int64,937265,0,12
vehicle,vehicle_location_restricted_lane,int64,937265,0,9
vehicle,junction_location,int64,937265,0,11
vehicle,skidding_and_overturning,int64,937265,0,8
vehicle,hit_object_in_carriageway,int64,937265,0,14
vehicle,vehicle_leaving_carriageway,int64,937265,0,11
vehicle,hit_object_off_carriageway,int64,937265,0,14
vehicle,first_point_of_impact,int64,937265,0,7
vehicle,vehicle_left_hand_drive,int64,937265,0,4
vehicle,journey_purpose_of_driver_historic,int64,937265,0,7
vehicle,journey_purpose_of_driver,int64,937265,0,7
vehicle,sex_of_driver,int64,937265,0,4
vehicle,age_of_driver,int64,937265,0,103
vehicle,age_band_of_driver,int64,937265,0,12
vehicle,engine_capacity_cc,int64,937265,0,1523
vehicle,propulsion_code,int64,937265,0,13
vehicle,age_of_vehicle,int64,937265,0,99
vehicle,generic_make_model,object,937265,0,958
vehicle,driver_imd_decile,int64,937265,0,11
vehicle,lsoa_of_driver,object,937265,0,36673
vehicle,escooter_flag,int64,937265,0,2
vehicle,driver_distance_banding,int64,937265,0,6
casualty,collision_index,object,652821,0,513801
casualty,collision_year,int64,652821,0,5
casualty,collision_ref_no,object,652821,0,510837
casualty,vehicle_reference,int64,652821,0,38
casualty,casualty_reference,int64,652821,0,145
casualty,casualty_class,int64,652821,0,3
casualty,sex_of_casualty,int64,652821,0,4
casualty,age_of_casualty,int64,652821,0,104
casualty,age_band_of_casualty,int64,652821,0,12
casualty,casualty_severity,int64,652821,0,3
casualty,pedestrian_location,int64,652821,0,12
casualty,pedestrian_movement,int64,652821,0,11
casualty,car_passenger,int64,652821,0,5
casualty,bus_or_coach_passenger,int64,652821,0,7
casualty,pedestrian_road_maintenance_worker,int64,652821,0,4
casualty,casualty_type,int64,652821,0,23
casualty,casualty_imd_decile,int64,652821,0,11
casualty,lsoa_of_casualty,object,652821,0,36519
casualty,enhanced_casualty_severity,int64,652821,0,6
casualty,casualty_injury_based,int64,652821,0,2
casualty,casualty_adjusted_severity_serious,float64,652821,0,24545
casualty,casualty_adjusted_severity_slight,float64,652821,0,24545
casualty,casualty_distance_banding,int64,652821,0,6
