column_name,data_type,row_count,missing_count,missing_percentage,unique_count
collision_index,object,513801,0,0.0,513801
collision_year,int64,513801,0,0.0,5
collision_ref_no,object,513801,0,0.0,510837
location_easting_osgr,float64,513801,53,0.0103,245276
location_northing_osgr,float64,513801,53,0.0103,263601
longitude,float64,513801,53,0.0103,437862
latitude,float64,513801,53,0.0103,412450
police_force,int64,513801,0,0.0,44
collision_severity,int64,513801,0,0.0,3
number_of_vehicles,int64,513801,0,0.0,19
number_of_casualties,int64,513801,0,0.0,26
date,object,513801,0,0.0,1826
day_of_week,int64,513801,0,0.0,7
time,object,513801,0,0.0,1440
local_authority_district,int64,513801,0,0.0,15
local_authority_ons_district,object,513801,0,0.0,370
local_authority_highway,object,513801,0,0.0,211
local_authority_highway_current,object,513801,0,0.0,208
first_road_class,int64,513801,0,0.0,7
first_road_number,int64,513801,0,0.0,3616
road_type,int64,513801,0,0.0,6
speed_limit,int64,513801,0,0.0,7
junction_detail_historic,int64,513801,0,0.0,11
junction_detail,int64,513801,0,0.0,8
junction_control,int64,513801,0,0.0,6
second_road_class,int64,513801,0,0.0,9
second_road_number,int64,513801,0,0.0,3356
pedestrian_crossing_human_control_historic,int64,513801,0,0.0,5
pedestrian_crossing_physical_facilities_historic,int64,513801,0,0.0,8
pedestrian_crossing,int64,513801,0,0.0,10
light_conditions,int64,513801,0,0.0,6
weather_conditions,int64,513801,0,0.0,10
road_surface_conditions,int64,513801,0,0.0,7
special_conditions_at_site,int64,513801,0,0.0,10
carriageway_hazards_historic,int64,513801,0,0.0,8
carriageway_hazards,int64,513801,0,0.0,14
urban_or_rural_area,int64,513801,0,0.0,4
did_police_officer_attend_scene_of_accident,int64,513801,0,0.0,3
trunk_road_flag,int64,513801,0,0.0,3
lsoa_of_accident_location,object,513801,0,0.0,35630
enhanced_severity_collision,int64,513801,0,0.0,6
collision_injury_based,int64,513801,0,0.0,2
collision_adjusted_severity_serious,float64,513801,0,0.0,25538
collision_adjusted_severity_slight,float64,513801,0,0.0,25539
